experimentRun,subRun,evaluate_original,start_block_height,end_block_height,kafka_partitions,batching,match_on_previous_add,heap_size,bypass_kafka,check_correctness,endTimePart1,endTimePart2,totalExecutionTime,timeOutReached
2,4,True,591116,591126,2,0,True,5,False,False,1200.7807459831238,1200.144225358963,1200.8045482635498,False
2,5,True,591116,591126,2,0,True,5,False,False,1200.4595901966095,1199.8236923217773,1200.4819512367249,False
3,1,True,591116,591126,4,0,True,5,False,False,1192.267602443695,1191.6377606391907,1192.2893991470337,False
3,2,True,591116,591126,4,0,True,5,False,False,1180.218896150589,1179.5872268676758,1180.2402787208557,False
3,3,True,591116,591126,4,0,True,5,False,False,1157.8125648498535,1157.1450216770172,1157.832757949829,False
3,4,True,591116,591126,4,0,True,5,False,False,1154.711151599884,1154.0692706108093,1154.7324976921082,False
3,5,True,591116,591126,4,0,True,5,False,False,1162.0585086345673,1161.4300105571747,1162.0784800052643,False
4,1,True,591116,591126,8,0,True,5,False,False,1152.5324728488922,1151.9055352210999,1152.5578367710114,False
4,2,True,591116,591126,8,0,True,5,False,False,1150.9427495002747,1150.3049120903015,1150.9623055458069,False
4,3,True,591116,591126,8,0,True,5,False,False,1141.328663110733,1140.6649994850159,1141.3498961925507,False
4,4,True,591116,591126,8,0,True,5,False,False,1168.234313249588,1168.5828325748444,1169.2580780982971,False
4,5,True,591116,591126,8,0,True,5,False,False,1151.5722393989563,1150.9336915016174,1151.5931491851807,False
5,1,True,591116,591126,1,1,True,5,False,False,1151.4664454460144,1150.840137720108,1151.4864513874054,False
5,2,True,591116,591126,1,1,True,5,False,False,1154.0922663211823,1153.3962581157684,1154.115639448166,False
5,3,True,591116,591126,1,1,True,5,False,False,1158.44864153862,1157.8179867267609,1158.475388765335,False
5,4,True,591116,591126,1,1,True,5,False,False,1134.9879121780396,1134.3444666862488,1135.009575843811,False
5,5,True,591116,591126,1,1,True,5,False,False,1137.1398210525513,1136.4657909870148,1137.1621856689453,False
6,1,True,591116,591126,1,10,True,5,False,False,1140.4958086013794,1140.4584319591522,1141.5217337608337,False
6,2,True,591116,591126,1,10,True,5,False,False,1143.6528265476227,1143.784395456314,1144.690880060196,False
6,3,True,591116,591126,1,10,True,5,False,False,1144.8567099571228,1145.1533617973328,1145.8810794353485,False
6,4,True,591116,591126,1,10,True,5,False,False,1199.5378868579865,1199.5325338840485,1200.5711693763733,False
6,5,True,591116,591126,1,10,True,5,False,False,1400.9449152946472,1400.9336245059967,1401.9699726104736,False
7,1,True,591116,591126,1,100,True,5,False,False,1283.761334657669,1289.8421478271484,1293.8210549354553,False
7,2,True,591116,591126,1,100,True,5,False,False,1154.0724737644196,1159.9410781860352,1164.1318130493164,False
7,3,True,591116,591126,1,100,True,5,False,False,1148.6899108886719,1154.834058523178,1158.7444887161255,False
7,4,True,591116,591126,1,100,True,5,False,False,1157.848387002945,1165.2369258403778,1167.9018428325653,False
7,5,True,591116,591126,1,100,True,5,False,False,1147.3367278575897,1153.2157785892487,1157.4127912521362,False
8,1,True,591116,591126,1,0,True,8,False,False,1180.2912442684174,1179.6572737693787,1180.3146169185638,False
8,2,True,591116,591126,1,0,True,8,False,False,1152.0221073627472,1151.3960208892822,1152.0606083869934,False
8,3,True,591116,591126,1,0,True,8,False,False,1167.1379444599152,1166.4957690238953,1167.161535024643,False
8,4,True,591116,591126,1,0,True,8,False,False,1176.5174090862274,1175.8566915988922,1176.5367858409882,False
8,5,True,591116,591126,1,0,True,8,False,False,1198.3157351016998,1197.6879065036774,1198.3377799987793,False
