"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 22, 2018","7,089.3","7,212.2","7,363.5","6,901.0","7.96K","-1.72%"
"Mar 21, 2018","7,213.2","7,295.5","7,476.7","7,154.1","10.15K","-1.13%"
"Mar 20, 2018","7,295.5","6,976.8","7,420.0","6,747.3","12.36K","4.67%"
"Mar 19, 2018","6,969.8","6,680.5","7,106.6","6,600.0","-","4.33%"
"Mar 18, 2018","6,680.5","6,386.3","6,750.0","5,936.1","15.97K","4.53%"
"Mar 17, 2018","6,390.8","6,727.0","6,830.0","6,271.9","10.51K","-5.07%"
"Mar 16, 2018","6,732.2","6,730.4","7,020.5","6,442.7","13.13K","0.00%"
"Mar 15, 2018","6,732.0","6,624.0","6,847.0","6,220.0","18.58K","1.63%"
"Mar 14, 2018","6,624.0","7,391.6","7,580.0","6,415.0","17.98K","-10.56%"
"Mar 13, 2018","7,406.3","7,411.1","7,684.6","7,155.0","11.02K","-0.01%"
"Mar 12, 2018","7,407.4","7,748.6","8,060.0","7,106.0","15.00K","-4.40%"
"Mar 11, 2018","7,748.6","7,152.4","7,911.4","6,863.3","-","8.53%"
"Mar 10, 2018","7,139.7","7,522.6","7,768.9","7,075.0","11.51K","-5.06%"
"Mar 09, 2018","7,520.0","7,549.0","7,642.0","6,800.7","21.33K","-0.39%"
"Mar 08, 2018","7,549.1","8,030.6","8,255.7","7,371.6","13.72K","-6.00%"
"Mar 07, 2018","8,030.7","8,625.0","8,788.1","7,636.0","-","-6.89%"
"Mar 06, 2018","8,625.0","9,249.0","9,249.0","8,507.2","11.17K","-6.76%"
"Mar 05, 2018","9,250.0","9,283.4","9,449.8","9,210.1","0.00K","-0.36%"
"Mar 04, 2018","9,283.4","9,222.3","9,295.0","8,970.0","6.12K","0.66%"
"Mar 03, 2018","9,222.3","8,940.9","9,293.9","8,925.6","6.20K","3.15%"
"Mar 02, 2018","8,940.9","8,853.8","9,079.0","8,760.0","7.89K","0.98%"
"Mar 01, 2018","8,853.8","8,430.0","8,997.0","8,350.2","8.41K","5.03%"
"Feb 28, 2018","8,430.0","8,610.3","9,035.1","8,414.2","9.44K","-2.09%"
"Feb 27, 2018","8,610.3","8,369.3","8,836.5","8,217.0","8.78K","2.96%"
"Feb 26, 2018","8,362.6","7,778.2","8,500.0","7,627.9","13.73K","7.52%"
"Feb 25, 2018","7,777.7","7,879.7","8,040.7","7,563.9","7.78K","-1.29%"
"Feb 24, 2018","7,879.7","8,253.0","8,563.0","7,613.4","13.25K","-4.61%"
"Feb 23, 2018","8,260.1","7,977.8","8,469.2","7,761.8","12.78K","3.54%"
"Feb 22, 2018","7,977.8","8,515.0","8,963.0","7,861.5","10.86K","-6.31%"
"Feb 21, 2018","8,515.0","9,123.8","9,180.0","8,315.0","16.78K","-6.63%"
